id,created_at,updated_at,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
96,2015-10-26 00:54:49.081552,2015-10-26 00:54:49.081552,112,112,Vincennes/111th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=269,,
97,2015-10-26 00:54:49.085302,2015-10-26 00:54:49.085302,115,115,Pullman/115th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=336,,
98,2015-10-26 00:54:49.090728,2015-10-26 00:54:49.090728,119,119,Michigan/119th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=270,,
99,2015-10-26 00:54:49.095058,2015-10-26 00:54:49.095058,120,120,Ogilvie/Wacker Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=271,,
100,2015-10-26 00:54:49.098903,2015-10-26 00:54:49.098903,121,121,Union/Wacker Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=272,,
101,2015-10-26 00:54:49.101886,2015-10-26 00:54:49.101886,124,124,Navy Pier,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=275,,
102,2015-10-26 00:54:49.104892,2015-10-26 00:54:49.104892,125,125,Water Tower Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=276,,
103,2015-10-26 00:54:49.108454,2015-10-26 00:54:49.108454,126,126,Jackson,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=277,,
104,2015-10-26 00:54:49.111478,2015-10-26 00:54:49.111478,132,132,Goose Island Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=279,,
105,2015-10-26 00:54:49.114402,2015-10-26 00:54:49.114402,134,134,Stockton/LaSalle Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=280,,
106,2015-10-26 00:54:49.117249,2015-10-26 00:54:49.117249,135,135,Clarendon/LaSalle Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=281,,
107,2015-10-26 00:54:49.119916,2015-10-26 00:54:49.119916,136,136,Sheridan/LaSalle Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=282,,
108,2015-10-26 00:54:49.122735,2015-10-26 00:54:49.122735,143,143,Stockton/Michigan Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=283,,
109,2015-10-26 00:54:49.155185,2015-10-26 00:54:49.155185,146,146,Inner Drive/Michigan Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=286,,
110,2015-10-26 00:54:49.158338,2015-10-26 00:54:49.158338,147,147,Outer Drive Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=287,,
111,2015-10-26 00:54:49.161616,2015-10-26 00:54:49.161616,148,148,Clarendon Michigan Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=288,,
112,2015-10-26 00:54:49.165105,2015-10-26 00:54:49.165105,151,151,Sheridan,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=289,,
113,2015-10-26 00:54:49.168496,2015-10-26 00:54:49.168496,152,152,Addison,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=290,,
114,2015-10-26 00:54:49.171544,2015-10-26 00:54:49.171544,155,155,Devon,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=291,,
115,2015-10-26 00:54:49.174447,2015-10-26 00:54:49.174447,156,156,LaSalle,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=292,,
116,2015-10-26 00:54:49.177112,2015-10-26 00:54:49.177112,157,157,Streeterville/Taylor,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=293,,
117,2015-10-26 00:54:49.180330,2015-10-26 00:54:49.180330,165,165,West 65th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=294,,
118,2015-10-26 00:54:49.183310,2015-10-26 00:54:49.183310,169,169,69th-UPS Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=296,,
119,2015-10-26 00:54:49.185914,2015-10-26 00:54:49.185914,170,170,U. of Chicago/Midway,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=297,,
120,2015-10-26 00:54:49.188798,2015-10-26 00:54:49.188798,171,171,U. of Chicago/Hyde Park,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=298,,
121,2015-10-26 00:54:49.191536,2015-10-26 00:54:49.191536,172,172,U. of Chicago/Kenwood,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=299,,
122,2015-10-26 00:54:49.194188,2015-10-26 00:54:49.194188,192,192,University of Chicago Hosp. Exp.,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=302,,
123,2015-10-26 00:54:49.197074,2015-10-26 00:54:49.197074,201,201,Central/Ridge,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=304,,
124,2015-10-26 00:54:49.199948,2015-10-26 00:54:49.199948,205,205,Chicago/Golf,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=305,,
125,2015-10-26 00:54:49.202793,2015-10-26 00:54:49.202793,206,206,Evanston Circulator,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=306,,
126,2015-10-26 00:54:49.205805,2015-10-26 00:54:49.205805,Red,,Red Line,1,http://www.transitchicago.com/riding_cta/systemguide/redline.aspx,C60C30,FFFFFF
127,2015-10-26 00:54:49.208737,2015-10-26 00:54:49.208737,P,,Purple Line,1,http://www.transitchicago.com/riding_cta/systemguide/purpleline.aspx,522398,FFFFFF
128,2015-10-26 00:54:49.211706,2015-10-26 00:54:49.211706,Y,,Yellow Line,1,http://www.transitchicago.com/riding_cta/systemguide/yellowline.aspx,F9E300,0
129,2015-10-26 00:54:49.214544,2015-10-26 00:54:49.214544,Blue,,Blue Line,1,http://www.transitchicago.com/riding_cta/systemguide/blueline.aspx,00A1DE,FFFFFF
130,2015-10-26 00:54:49.217566,2015-10-26 00:54:49.217566,Pnk,,Pink Line,1,http://www.transitchicago.com/riding_cta/systemguide/pinkline.aspx,E27EA6,FFFFFF
131,2015-10-26 00:54:49.221066,2015-10-26 00:54:49.221066,G,,Green Line,1,http://www.transitchicago.com/riding_cta/systemguide/greenline.aspx,009B3A,FFFFFF
132,2015-10-26 00:54:49.224553,2015-10-26 00:54:49.224553,Brn,,Brown Line,1,http://www.transitchicago.com/riding_cta/systemguide/brownline.aspx,62361B,FFFFFF
133,2015-10-26 00:54:49.228085,2015-10-26 00:54:49.228085,O,,Orange Line,1,http://www.transitchicago.com/riding_cta/systemguide/orangeline.aspx,F9461C,FFFFFF
